MJD,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
55766.05,15.4,27.88,0.35,n,AMI-LA,Berger et al.2012
55767.05,15.4,26.92,0.73,n,AMI-LA,Berger et al.2012
55767.68,15.4,29.87,0.61,n,AMI-LA,Berger et al.2012
55768.95,15.4,28.86,0.41,n,AMI-LA,Berger et al.2012
55769.88,15.4,27.46,0.97,n,AMI-LA,Berger et al.2012
55770.55,230,6.1,0.65,n,SMA,Berger et al.2012
55771.01,15.4,27.4,0.56,n,AMI-LA,Berger et al.2012
55772.01,4.9,9.1,0.03,n,EVLA,Berger et al.2012
55772.01,6.7,14.16,0.04,n,EVLA,Berger et al.2012
55772.09,1.4,1.1,0.1,n,EVLA,Berger et al.2012
55772.88,15.4,28.96,0.39,n,AMI-LA,Berger et al.2012
55773.19,8.4,19.03,0.14,n,EVLA,Berger et al.2012
55773.33,19.1,29.75,0.22,n,EVLA,Berger et al.2012
55773.33,24.4,28.29,0.33,n,EVLA,Berger et al.2012
55773.33,43.6,20.84,0.48,n,EVLA,Berger et al.2012
55773.85,15.4,28.69,1,n,AMI-LA,Berger et al.2012
55775.88,15.4,27.87,0.64,n,AMI-LA,Berger et al.2012
55776.91,15.4,28.94,1.11,n,AMI-LA,Berger et al.2012
55777.02,87,15.18,0.35,n,CARMA,Berger et al.2012
55777.99,15.4,29.39,0.96,n,AMI-LA,Berger et al.2012
55778.85,15.4,30.81,1.03,n,AMI-LA,Berger et al.2012
55779.86,15.4,29.73,0.52,n,AMI-LA,Berger et al.2012
55780.82,15.4,31.25,0.59,n,AMI-LA,Berger et al.2012
55781.96,15.4,29.31,1.29,n,AMI-LA,Berger et al.2012
55783.01,15.4,29.58,0.23,n,AMI-LA,Berger et al.2012
55784.01,15.4,28.5,0.69,n,AMI-LA,Berger et al.2012
55785.01,15.4,28.96,0.57,n,AMI-LA,Berger et al.2012
55786,15.4,29.22,0.52,n,AMI-LA,Berger et al.2012
55786.63,15.4,29.03,0.45,n,AMI-LA,Berger et al.2012
55787.8,15.4,26.6,0.31,n,AMI-LA,Berger et al.2012
55788.12,19.1,29.57,0.13,n,EVLA,Berger et al.2012
55788.12,24.4,24.73,0.16,n,EVLA,Berger et al.2012
55788.76,15.4,28.96,0.61,n,AMI-LA,Berger et al.2012
55789.12,4.9,11.71,0.03,n,EVLA,Berger et al.2012
55789.12,6.7,16.85,0.04,n,EVLA,Berger et al.2012
55789.92,15.4,28.36,0.57,n,AMI-LA,Berger et al.2012
55791.98,15.4,28.92,0.64,n,AMI-LA,Berger et al.2012
55792.98,15.4,27.44,0.76,n,AMI-LA,Berger et al.2012
55793.77,15.4,29.49,0.97,n,AMI-LA,Berger et al.2012
55794.16,87,11.88,0.35,n,CARMA,Berger et al.2012
55794.77,15.4,29.82,0.43,n,AMI-LA,Berger et al.2012
55795.97,15.4,29.83,0.23,n,AMI-LA,Berger et al.2012
55796.72,15.4,29.31,0.73,n,AMI-LA,Berger et al.2012
55797.77,15.4,28.1,1.3,n,AMI-LA,Berger et al.2012
55798.96,15.4,26.71,0.38,n,AMI-LA,Berger et al.2012
55800.95,15.4,27.8,0.45,n,AMI-LA,Berger et al.2012
55801.85,15.4,29.92,0.89,n,AMI-LA,Berger et al.2012
55802.95,15.4,27.77,0.31,n,AMI-LA,Berger et al.2012
55803.79,15.4,27.72,0.83,n,AMI-LA,Berger et al.2012
55804.78,15.4,27.98,0.59,n,AMI-LA,Berger et al.2012
55805.27,8.4,22.15,0.2,n,EVLA,Berger et al.2012
55805.27,19.1,26.1,0.26,n,EVLA,Berger et al.2012
55805.27,24.4,23.83,0.4,n,EVLA,Berger et al.2012
55805.27,43.6,15.43,0.63,n,EVLA,Berger et al.2012
55805.77,15.4,28.93,0.44,n,AMI-LA,Berger et al.2012
55806.7,15.4,26.94,0.84,n,AMI-LA,Berger et al.2012
55807.71,15.4,26.81,1.21,n,AMI-LA,Berger et al.2012
55808.78,15.4,28.82,0.68,n,AMI-LA,Berger et al.2012
55809.88,4.9,12.93,0.05,n,EVLA,Berger et al.2012
55809.88,6.7,18.27,0.06,n,EVLA,Berger et al.2012
55811.5,15.4,26.92,0.58,n,AMI-LA,Berger et al.2012
55813.63,15.4,25.9,0.64,n,AMI-LA,Berger et al.2012
55814.63,15.4,25.47,0.83,n,AMI-LA,Berger et al.2012
55817.75,15.4,26.12,0.48,n,AMI-LA,Berger et al.2012
55819.83,15.4,26.12,0.15,n,AMI-LA,Berger et al.2012
55819.97,1.4,1.6,0.11,n,EVLA,Berger et al.2012
55819.97,4.9,12.83,0.06,n,EVLA,Berger et al.2012
55819.97,6.7,19.59,0.16,n,EVLA,Berger et al.2012
55819.97,8.4,23.19,0.38,n,EVLA,Berger et al.2012
55821.06,87,9.39,0.31,n,CARMA,Berger et al.2012
55822.82,15.4,26.31,0.37,n,AMI-LA,Berger et al.2012
55823,8.4,23.65,0.16,n,EVLA,Berger et al.2012
55823,19.1,24.24,0.16,n,EVLA,Berger et al.2012
55823,24.4,20.4,0.19,n,EVLA,Berger et al.2012
55823,43.6,15.73,0.38,n,EVLA,Berger et al.2012
55826.8,15.4,24.37,0.85,n,AMI-LA,Berger et al.2012
55829.53,15.4,23.06,0.77,n,AMI-LA,Berger et al.2012
55832.69,15.4,24.24,0.43,n,AMI-LA,Berger et al.2012
55833.41,15.4,24.28,0.45,n,AMI-LA,Berger et al.2012
55834.87,15.4,24.6,0.59,n,AMI-LA,Berger et al.2012
55838.69,15.4,26.15,0.75,n,AMI-LA,Berger et al.2012
55839.51,15.4,24.53,0.34,n,AMI-LA,Berger et al.2012
55842.52,15.4,26.72,0.52,n,AMI-LA,Berger et al.2012
55842.91,1.4,1.8,0.1,n,EVLA,Berger et al.2012
55842.91,4.9,13.29,0.03,n,EVLA,Berger et al.2012
55842.91,6.7,19.34,0.03,n,EVLA,Berger et al.2012
55842.91,8.4,22.42,0.1,n,EVLA,Berger et al.2012
55843.72,19.1,23.02,0.12,n,EVLA,Berger et al.2012
55843.72,24.4,19.88,0.15,n,EVLA,Berger et al.2012
55843.72,43.6,11.7,0.26,n,EVLA,Berger et al.2012
55845.51,15.4,25.9,0.15,n,AMI-LA,Berger et al.2012
55848.51,15.4,24.12,0.41,n,AMI-LA,Berger et al.2012
55852.58,15.4,25.06,0.45,n,AMI-LA,Berger et al.2012
55855.69,15.4,24.24,0.31,n,AMI-LA,Berger et al.2012
55858.82,4.9,12.43,0.04,n,EVLA,Berger et al.2012
55858.82,6.7,18.02,0.05,n,EVLA,Berger et al.2012
55858.82,8.4,22.04,0.13,n,EVLA,Berger et al.2012
55859.67,15.4,22.64,0.38,n,AMI-LA,Berger et al.2012
55862.66,15.4,24.16,0.25,n,AMI-LA,Berger et al.2012
