MJD,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
59716.6,15.5,0.84,0.07,n,AMI-LA,Rhode et al.2023
59636.8,5,0.075,,y,e-MERLIN,Rhode et al.2023
59645.5,5,0.084,,y,e-MERLIN,Rhode et al.2023
59661.3,5,0.1,0.02,n,e-MERLIN,Rhode et al.2023
59682.3,5,0.11,0.01,n,e-MERLIN,Rhode et al.2023
59704.1,5,0.1,0.01,n,e-MERLIN,Rhode et al.2023
59627.5,1.3,0.018,,y,MeerKAT,Rhode et al.2023
59684.4,1.3,0.021,,y,MeerKAT,Rhode et al.2023
59688.4,1.3,0.018,,y,MeerKAT,Rhode et al.2023
59723.53125,5,0.08,0.02,n,e-MERLIN,Rhode et al.2025
59730.87298,15.5,0.8,0.07,n,AMI-LA,Rhode et al.2025
59730.87313,15.5,0.99,0.08,n,AMI-LA,Rhode et al.2025
59732.82734,15.5,1.17,0.08,n,AMI-LA,Rhode et al.2025
59732.82749,15.5,1.07,0.07,n,AMI-LA,Rhode et al.2025
59735.95957,15.5,1.06,0.09,n,AMI-LA,Rhode et al.2025
59735.95988,15.5,1.05,0.09,n,AMI-LA,Rhode et al.2025
59736.84119,15.5,1.14,0.08,n,AMI-LA,Rhode et al.2025
59736.84151,15.5,1.2,0.07,n,AMI-LA,Rhode et al.2025
59737.99653,86.25,1.6,0.2,n,NOEMA,Rhode et al.2025
59737.99653,101.75,1.3,0.1,n,NOEMA,Rhode et al.2025
59741.80362,15.5,0.95,0.1,n,AMI-LA,Rhode et al.2025
59747.5,5,0.12,0.02,n,e-MERLIN,Rhode et al.2025
59749.78681,86.25,1.2,0.1,n,NOEMA,Rhode et al.2025
59749.78681,101.75,0.9,0.1,n,NOEMA,Rhode et al.2025
59754.79341,15.5,1.1,0.1,n,AMI-LA,Rhode et al.2025
59754.79374,15.5,1,,y,AMI-LA,Rhode et al.2025
59756.70563,15.5,0.91,0.06,n,AMI-LA,Rhode et al.2025
59756.70587,15.5,0.94,0.08,n,AMI-LA,Rhode et al.2025
59762.75181,15.5,1.8,,y,AMI-LA,Rhode et al.2025
59764.8319,15.5,1.02,0.09,n,AMI-LA,Rhode et al.2025
59765.75748,15.5,0.91,0.12,n,AMI-LA,Rhode et al.2025
59766.72569,86.25,0.78,0.08,n,NOEMA,Rhode et al.2025
59766.72569,101.75,0.63,0.07,n,NOEMA,Rhode et al.2025
59770.47917,5,0.17,0.02,n,e-MERLIN,Rhode et al.2025
59781.83056,86.25,0.9,0.1,n,NOEMA,Rhode et al.2025
59781.83056,101.75,0.81,0.09,n,NOEMA,Rhode et al.2025
59789.54161,1.28,0.03,,y,MeerKAT,Rhode et al.2025
59794.80625,86.25,0.9,0.1,n,NOEMA,Rhode et al.2025
59794.80625,101.75,0.6,0.1,n,NOEMA,Rhode et al.2025
59811.46458,86.25,0.51,0.07,n,NOEMA,Rhode et al.2025
59811.46458,101.75,0.36,0.06,n,NOEMA,Rhode et al.2025
59814.70471,15.5,1.12,0.09,n,AMI-LA,Rhode et al.2025
59818.56151,15.5,1.08,0.09,n,AMI-LA,Rhode et al.2025
59823.55203,15.5,1.19,0.09,n,AMI-LA,Rhode et al.2025
59830.49896,15.5,0.98,0.08,n,AMI-LA,Rhode et al.2025
59832.45749,15.5,1.09,0.07,n,AMI-LA,Rhode et al.2025
59832.62708,86.25,0.43,0.05,n,NOEMA,Rhode et al.2025
59832.62708,101.75,0.3,0.04,n,NOEMA,Rhode et al.2025
59851.57361,86.25,0.32,0.05,n,NOEMA,Rhode et al.2025
59851.57361,101.75,0.28,0.05,n,NOEMA,Rhode et al.2025
59859.45156,15.5,1.18,0.07,n,AMI-LA,Rhode et al.2025
59862.41644,15.5,0.93,0.07,n,AMI-LA,Rhode et al.2025
59865.46711,15.5,1.19,0.07,n,AMI-LA,Rhode et al.2025
59867.31389,86.25,0.11,0.04,n,NOEMA,Rhode et al.2025
59867.31389,101.75,0.19,0.05,n,NOEMA,Rhode et al.2025
59868.3696,15.5,1.06,0.06,n,AMI-LA,Rhode et al.2025
59875.38718,15.5,1.1,0.2,n,AMI-LA,Rhode et al.2025
59878.57218,86.25,0.31,0.05,n,NOEMA,Rhode et al.2025
59878.57218,101.75,0.39,0.06,n,NOEMA,Rhode et al.2025
59883.45417,86.25,0.25,0.05,n,NOEMA,Rhode et al.2025
59883.45417,101.75,0.18,0.04,n,NOEMA,Rhode et al.2025
59895.48767,15.5,1.01,0.06,n,AMI-LA,Rhode et al.2025
59897.34867,15.5,0.97,0.09,n,AMI-LA,Rhode et al.2025
59901.50556,86.25,0.18,0.03,n,NOEMA,Rhode et al.2025
59901.50556,101.75,0.3,,y,NOEMA,Rhode et al.2025
59904.40071,15.5,1.01,0.06,n,AMI-LA,Rhode et al.2025
59914.33611,15.5,0.94,0.07,n,AMI-LA,Rhode et al.2025
59918.30571,15.5,0.88,0.07,n,AMI-LA,Rhode et al.2025
59927.2936,15.5,1,,y,AMI-LA,Rhode et al.2025
59930.27299,15.5,1.3,,y,AMI-LA,Rhode et al.2025
59932.25164,15.5,1.01,0.09,n,AMI-LA,Rhode et al.2025
59940.27058,15.5,0.96,0.06,n,AMI-LA,Rhode et al.2025
59940.42431,86.25,0.14,0.02,n,NOEMA,Rhode et al.2025
59940.42431,101.75,0.11,0.02,n,NOEMA,Rhode et al.2025
59961.18835,15.5,0.89,0.06,n,AMI-LA,Rhode et al.2025
59964.16142,15.5,0.98,0.07,n,AMI-LA,Rhode et al.2025
59979.12472,15.5,0.8,0.05,n,AMI-LA,Rhode et al.2025
59983.12069,15.5,0.91,0.06,n,AMI-LA,Rhode et al.2025
59986.11743,15.5,0.84,0.06,n,AMI-LA,Rhode et al.2025
59990.00278,86.25,0.11,0.01,n,NOEMA,Rhode et al.2025
59990.00278,101.75,0.07,0.01,n,NOEMA,Rhode et al.2025
59991.98815,1.28,0.09,0.01,n,MeerKAT,Rhode et al.2025
60006.06272,15.5,0.66,0.04,n,AMI-LA,Rhode et al.2025
60012.04361,15.5,0.5,0.1,n,AMI-LA,Rhode et al.2025
60030.01797,15.5,0.64,0.04,n,AMI-LA,Rhode et al.2025
60039.97002,15.5,0.52,0.05,n,AMI-LA,Rhode et al.2025
60040.96726,15.5,0.69,0.05,n,AMI-LA,Rhode et al.2025
60048.92733,15.5,0.5,0.05,n,AMI-LA,Rhode et al.2025
60050.98973,15.5,0.42,0.05,n,AMI-LA,Rhode et al.2025
60054.99887,15.5,0.58,0.04,n,AMI-LA,Rhode et al.2025
60056.91528,86.25,0.08,0.02,n,NOEMA,Rhode et al.2025
60056.91528,101.75,0.06,0.02,n,NOEMA,Rhode et al.2025
60058.98346,15.5,0.52,0.04,n,AMI-LA,Rhode et al.2025
60069.85509,15.5,0.38,0.05,n,AMI-LA,Rhode et al.2025
60072.81781,15.5,0.51,0.08,n,AMI-LA,Rhode et al.2025
60074.06544,15.5,0.43,0.04,n,AMI-LA,Rhode et al.2025
60075.85637,15.5,0.55,0.06,n,AMI-LA,Rhode et al.2025
60078.90773,15.5,0.45,0.04,n,AMI-LA,Rhode et al.2025
60096.73394,15.5,0.46,0.04,n,AMI-LA,Rhode et al.2025
60099.78183,15.5,0.34,0.07,n,AMI-LA,Rhode et al.2025
60105.78207,15.5,0.3,,y,AMI-LA,Rhode et al.2025
60133.698,15.5,0.23,0.07,n,AMI-LA,Rhode et al.2025
60135.7244,15.5,0.39,0.08,n,AMI-LA,Rhode et al.2025
60146.63757,15.5,0.26,0.04,n,AMI-LA,Rhode et al.2025
60168.68208,15.5,0.34,0.07,n,AMI-LA,Rhode et al.2025
60182.61961,15.5,0.3,,y,AMI-LA,Rhode et al.2025
60189.75147,15.5,0.3,0.08,n,AMI-LA,Rhode et al.2025
60203.53249,15.5,0.2,0.05,n,AMI-LA,Rhode et al.2025
60210.5689,15.5,0.26,0.05,n,AMI-LA,Rhode et al.2025
60215.55111,1.28,0.1,0.01,n,MeerKAT,Rhode et al.2025
60216.69679,15.5,0.27,0.07,n,AMI-LA,Rhode et al.2025
60220.17361,5,0.35,0.02,n,e-MERLIN,Rhode et al.2025
60223.38736,3,0.17,0.02,n,MeerKAT,Rhode et al.2025
60224.48069,15.5,0.22,0.07,n,AMI-LA,Rhode et al.2025
60232.42769,15.5,0.24,0.04,n,AMI-LA,Rhode et al.2025
60238.48333,15.5,0.9,,y,AMI-LA,Rhode et al.2025
60245.39219,15.5,0.15,,y,AMI-LA,Rhode et al.2025
60254.49851,15.5,0.21,0.04,n,AMI-LA,Rhode et al.2025
60260.4842,15.5,0.33,0.06,n,AMI-LA,Rhode et al.2025
60266.45881,15.5,0.3,,y,AMI-LA,Rhode et al.2025
60266.07639,5,0.43,0.03,n,e-MERLIN,Rhode et al.2025
60274.40581,15.5,0.23,0.04,n,AMI-LA,Rhode et al.2025
60296.42399,15.5,0.17,0.04,n,AMI-LA,Rhode et al.2025
60316.37146,15.5,0.13,0.03,n,AMI-LA,Rhode et al.2025
60323.3849,15.5,0.17,0.04,n,AMI-LA,Rhode et al.2025
60333.64583,5,0.31,0.02,n,e-MERLIN,Rhode et al.2025
60337.13683,15.5,0.21,0.05,n,AMI-LA,Rhode et al.2025
60342.10947,1.28,0.09,,y,MeerKAT,Rhode et al.2025
60344.07828,3,0.3,0.04,n,MeerKAT,Rhode et al.2025
60400.00232,5,0.28,0.02,n,e-MERLIN,Rhode et al.2025
60462.46181,5,0.25,0.02,n,e-MERLIN,Rhode et al.2025
60489.69543,1.28,0.11,0.01,n,MeerKAT,Rhode et al.2025
60489.758,3,0.39,0.04,n,MeerKAT,Rhode et al.2025
60530.46181,5,0.22,0.02,n,e-MERLIN,Rhode et al.2025
60532.55313,1.28,0.09,0.02,n,MeerKAT,Rhode et al.2025
60532.61637,3,0.33,0.04,n,MeerKAT,Rhode et al.2025
60588.39335,1.28,0.13,0.02,n,MeerKAT,Rhode et al.2025
60588.45795,3,0.22,0.03,n,MeerKAT,Rhode et al.2025
60658.33333,15.5,0.1,0.03,n,AMI-LA,Rhode et al.2025
60523.26042,15.5,0.1,0.03,n,AMI-LA,Rhode et al.2025
60776.92708,15.5,0.11,0.03,n,AMI-LA,Rhode et al.2025
